Categories,Year,Ton_miles
TOTAL U.S. ton-miles of freight ,2006,5401380
Truck,2006,2189999
TOTAL U.S. ton-miles of freight ,2007,5430874
Truck,2007,2236205
TOTAL U.S. ton-miles of freight ,2008,5168527
Truck,2008,1875725
TOTAL U.S. ton-miles of freight ,2009,5023111
Truck,2009,2054264
TOTAL U.S. ton-miles of freight ,2010,4992564
Truck,2010,1830761
TOTAL U.S. ton-miles of freight ,2011,4909454
Truck,2011,1650557
TOTAL U.S. ton-miles of freight ,2012,4895313
Truck,2012,1838648
TOTAL U.S. ton-miles of freight ,2013,5041501
Truck,2013,2004478
TOTAL U.S. ton-miles of freight ,2014,5180010
Truck,2014,1956831
TOTAL U.S. ton-miles of freight ,2015,5110527
Truck,2015,1985960
TOTAL U.S. ton-miles of freight ,2016,5007566
Truck,2016,2060878
TOTAL U.S. ton-miles of freight ,2017,5427868
Truck,2017,2366049
TOTAL U.S. ton-miles of freight ,2018,5511658
Truck,2018,2341705
TOTAL U.S. ton-miles of freight ,2019,5420408
Truck,2019,2367988
