Category,Year,Number_registered
Total trucks,2006,107943782
Pickups,2006,39027657
Vans,2006,18710264
Sport utilities,2006,35769584
Other lighta,2006,1166888
Truck tractors,2006,1966248
Other medium/heavyb,2006,9418730
Total trucks,2007,110497239
Pickups,2007,40211460
Vans,2007,19151161
Sport utilities,2007,38792906
Other lighta,2007,449978
Truck tractors,2007,1981286
Other medium/heavyb,2007,8022307
Total trucks,2008,110241587
Pickups,2008,40158416
Vans,2008,18445139
Sport utilities,2008,40519012
Other lighta,2008,447765
Truck tractors,2008,1930378
Other medium/heavyb,2008,6831934
Total trucks,2009,110561293
Pickups,2009,40615336
Vans,2009,17820059
Sport utilities,2009,41276947
Other lighta,2009,441354
Truck tractors,2009,1819309
Other medium/heavyb,2009,6676239
Total trucks,2010,110322256
Pickups,2010,40980641
Vans,2010,17549297
Sport utilities,2010,43732613
Other lighta,2010,439770
Truck tractors,2010,1889166
Other medium/heavyb,2010,3814828
Total trucks,2011,118455587
Pickups,2011,40850084
Vans,2011,47070170
Sport utilities,2011,17202408
Other lighta,2011,448617
Truck tractors,2011,2421296
Other medium/heavyb,2011,8987991
Total trucks,2012,133130032
Pickups,2012,45411976
Vans,2012,20183007
Sport utilities,2012,55036982
Other lighta,2012,214983
Truck tractors,2012,2581245
Other medium/heavyb,2012,8157854
Total trucks,2013,132931240
Pickups,2013,44958268
Vans,2013,18394510
Sport utilities,2013,57090992
Other lighta,2013,78790
Truck tractors,2013,2443433
Other medium/heavyb,2013,9965247
Total trucks,2014,137531011
Pickups,2014,45678808
Vans,2014,17415020
Sport utilities,2014,61501944
Other lighta,2014,84837
Truck tractors,2014,2617189
Other medium/heavyb,2014,10233213
Total trucks,2015,141256148
Pickups,2015,46844188
Vans,2015,16917823
Sport utilities,2015,64703676
Other lighta,2015,86862
Truck tractors,2015,2654584
Other medium/heavyb,2015,10049015
Total trucks,2016,146182276
Pickups,2016,46941851
Vans,2016,16577778
Sport utilities,2016,69112824
Other lighta,2016,83218
Truck tractors,2016,2582751
Other medium/heavyb,2016,10883854
Total trucks,2017,151605435
Pickups,2017,47864139
Vans,2017,16222359
Sport utilities,2017,73581210
Other lighta,2017,81238
Truck tractors,2017,2731407
Other medium/heavyb,2017,11125081
Total trucks,2018,152701631
Pickups,2018,47130838
Vans,2018,15389921
Sport utilities,2018,75758440
Other lighta,2018,77399
Truck tractors,2018,2745265
Other medium/heavyb,2018,11599768
Total trucks,2019,158352117
Pickups,2019,48320784
Vans,2019,15075377
Sport utilities,2019,80511102
Other lighta,2019,75515
Truck tractors,2019,2758682
Other medium/heavyb,2019,11610658
