Category,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,(R) 2017,(R) 2018,(R) 2019,(R) 2020,2021,,,,,,,,,,,
All industries,"35,509","37,050","39,231","40,213","40,975","42,335","44,263","45,643","47,731","49,895","51,398","51,793","53,239","54,699","56,089","56,667","58,350","59,993","60,826","62,726","64,694","66,712","71,455","75,447",,,,,,,,,,,
"Transportation and warehousing, total","35,965","37,426","39,055","39,941","40,690","41,542","43,324","43,939","45,491","47,413","48,182","48,387","49,744","51,305","52,427","53,364","54,817","55,941","56,593","57,808","59,628","60,654","61,448","64,575",,,,,,,,,,,
Air,"48,919","50,879","53,231","56,129","58,115","57,596","59,026","56,772","59,290","63,554","62,660","62,331","65,793","69,400","70,419","77,843","80,317","84,815","92,313","94,766","96,598","98,315","99,822","102,091",,,,,,,,,,,
Rail,"59,766","61,287","63,353","64,100","65,120","68,108","72,097","72,903","75,207","78,338","84,228","82,487","81,436","86,303","92,289","88,364","94,268","95,455","93,446","96,818","103,022","103,288","102,729","109,009",,,,,,,,,,,
Water ,"48,450","50,407","51,516","55,953","56,988","58,202","61,774","62,903","66,463","72,871","75,498","76,894","78,598","82,480","82,976","84,329","87,942","90,253","89,909","92,209","95,416","96,452","101,142","103,624",,,,,,,,,,,
Truck,"33,686","34,864","36,030","36,502","37,315","38,296","40,106","41,481","43,069","44,305","45,047","44,423","45,537","46,869","47,810","48,831","50,679","52,057","52,676","54,527","57,218","58,314","60,735","65,173",,,,,,,,,,,
Transit and ground passenger transportation,"21,840","22,801","23,827","24,335","24,764","25,274","26,725","27,123","28,600","29,640","30,199","30,513","30,979","32,015","32,553","33,125","34,236","35,413","37,442","39,639","44,447","52,013","50,792","55,611",,,,,,,,,,,
Pipeline ,"64,305","71,789","96,662","100,514","82,058","83,970","89,294","88,952","97,746","106,101","104,940","108,108","112,669","119,021","137,264","124,309","124,963","129,658","130,880","136,721","137,285","146,016","145,967","146,251",,,,,,,,,,,
Other transportation and support activitiesb,"32,605","34,489","35,823","36,173","37,672","39,122","41,429","42,518","44,126","45,851","46,635","47,553","49,169","49,988","50,800","51,636","52,364","52,882","53,007","53,986","55,214","55,684","57,591","62,295",,,,,,,,,,,
Warehousing and storage,"31,317","32,307","33,623","34,156","35,164","36,605","37,942","38,861","39,410","41,012","41,705","43,071","44,183","44,956","45,408","45,603","46,375","46,642","45,893","45,661","46,446","46,814","48,290","50,708",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
